listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0131,Dream Car,Importateur,Kia,Sorento,5 Noblesse Edition,2017.0,88000000,88M Ar,MGA,partner_official,False,,,Diesel,BVA 6 speed (Sport/Eco),4WD,CRDi 16v 2.2L (turbo e-VGT),7,Peinture blanc nacre; Cuir marron nappa; Palettes volant; HUD; 4 cameras 360; Sono JBL + CarPlay/Android Auto; LED anti-brouillard type Porsche; Frein main elec + autohold; Park assist; Memo siege elec ventile/chauffant; Prise 220v; Clim integral; Hayon elec; Jantes chromees 19''; Cockpit digital; Volant chauffant; Rideau lateral,Provenance: Importee Coree fraichement; État: Tres bon,Antananarivo,038 98 052 84,True,,high,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0138,Noom's Auto,Importateur,Kia,Morning,Phase 2,,23600000,23M Ar,MGA,partner_official,False,,,Essence,Automatique,4x2,,5,Couleurs au choix Gris ou Rouge; Boite auto - confort de conduite garanti; Economique,Provenance: Importation Coree; État: Importation,Antananarivo,,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0139,Noom's Auto,Importateur,Kia,Pride,Phase 3,,30000000,30M Ar,MGA,partner_official,False,,,Essence,Manuelle,4x2,,5,Ecran de bord moderne; Conduite maitrisee,Provenance: Importation Coree; État: Importation,Antananarivo,,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0141,Korean Luxury car MDG,Importateur,Jeep,Wrangler,Rubicon Phase 2 Noir,2015.0,117000000,117M Ar,MGA,partner_official,False,,,Essence,Automatique,4x4,,5,Couleur noire; BVA; Personnalise (calandre + pare-chocs); Pneus tout-terrain,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0142,Korean Luxury car MDG,Importateur,Jeep,Wrangler,Rubicon Phase 2 Blanc,2013.0,98000000,98M Ar,MGA,partner_official,False,,,Essence,Automatique,4x4,,5,Couleur blanche; BVA; Calandre custom; LED bar; Stickers; Pneus AT,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0143,Korean Luxury car MDG,Importateur,Hyundai,Terracan,Offroad Phase 2,2004.0,48500000,48M Ar,MGA,partner_official,False,,,Diesel,Automatique,4x4,,5,BVA; Snorkel; Jantes alu,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0144,Korean Luxury car MDG,Importateur,Volkswagen,Tiguan,Phase 2,2015.0,62000000,62M Ar,MGA,partner_official,False,,,Essence,Automatique,4x2,,5,Couleur grise; BVA,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0145,Korean Luxury car MDG,Importateur,SsangYong,Korando,C Phase 2,2015.0,40000000,40M Ar,MGA,partner_official,False,,,,Automatique,4x2,,5,Couleur bleu nuit; BVA; LED daytime; Jantes noires,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0146,Korean Luxury car MDG,Importateur,BMW,Serie,3 F30 320D,2013.0,53500000,53M Ar,MGA,partner_official,False,,,Diesel,Automatique,4x2,2.0L,5,Berline; Couleur blanche; LED angel eyes,Provenance: Korea (immatriculation etrangere); État: Bon,Antananarivo,032 19 098 96,True,,medium,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Berline
ANX-MKT-0149,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,RAV4,,2021.0,120000000,120M Ar,MGA,dealer_used,False,65000.0,65000 km,Essence,Automatique,4x2,2.0L,5,Occasion certifiee Automark; Reference prix marche concessionnaire,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
